Ano,Países,Código SH2,Descrição SH2,Valor US$ FOB,Quilograma Líquido
2024,"
Países Baixos (Holanda)",81,"
Outros metais comuns; ceramais (cermets); obras dessas matérias",75289576,1511999
2024,"
China",85,"
Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",75185353,3179655
2024,"
Estados Unidos",12,"
Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",74134821,139316126
2024,"
México",38,"
Produtos diversos das indústrias químicas",73499105,23471678
2024,"
Japão",29,"
Produtos químicos orgânicos",72993362,31925056
2024,"
Alemanha",44,"
Madeira, carvão vegetal e obras de madeira",72891775,119500607
2024,"
Argentina",83,"
Obras diversas de metais comuns",72168611,6210933
2024,"
Chile",33,"
Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas",72077900,12829225
2024,"
Estados Unidos",79,"
Zinco e suas obras",71087262,26210915
2024,"
México",68,"
Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes",69532824,79986265
2024,"
México",41,"
Peles, exceto as peles com pelo, e couros",67272637,8623026
2024,"
Alemanha",24,"
Tabaco e seus sucedâneos manufaturados",66236417,7146981
2024,"
Chile",38,"
Produtos diversos das indústrias químicas",64929874,25264105
2024,"
Alemanha",64,"
Calçados, polainas e artefatos semelhantes; suas partes",64892200,2281472
2024,"
Países Baixos (Holanda)",38,"
Produtos diversos das indústrias químicas",64888080,56838635
2024,"
Países Baixos (Holanda)",90,"
Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",64602295,125757
2024,"
Países Baixos (Holanda)",84,"
Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",64054411,10398202
2024,"
China",28,"
Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",62867372,10165020
2024,"
Argentina",2,"
Carnes e miudezas, comestíveis",61589333,24918112
2024,"
Chile",94,"
Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",61324317,37386680
2024,"
Alemanha",73,"
Obras de ferro fundido, ferro ou aço",60175777,16443373
2024,"
Argentina",47,"
Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).",59282101,92406493
2024,"
Alemanha",87,"
Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",59208315,6907507
2024,"
Chile",18,"
Cacau e suas preparações",59039453,7256704
2024,"
Estados Unidos",25,"
Sal; enxofre; terras e pedras; gesso, cal e cimento",58134901,528234837
2024,"
Japão",85,"
Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",57984056,7328253
2024,"
Espanha",84,"
Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",57918651,6181331
2024,"
China",23,"
Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais",56396187,71202987
2024,"
Espanha",80,"
Estanho e suas obras",54375189,1864469
2024,"
Países Baixos (Holanda)",44,"
Madeira, carvão vegetal e obras de madeira",53903588,83229169
2024,"
México",76,"
Alumínio e suas obras",52937721,8996723
2024,"
México",21,"
Preparações alimentícias diversas",51421210,7745008
2024,"
Países Baixos (Holanda)",10,"
Cereais",51260644,251146377
2024,"
Espanha",17,"
Açúcares e produtos de confeitaria",50767456,101662799
2024,"
China",71,"
Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas",50567281,14296685
2024,"
México",90,"
Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",50083024,1314285
2024,"
Espanha",44,"
Madeira, carvão vegetal e obras de madeira",50043792,256366746
2024,"
Argentina",69,"
Produtos cerâmicos",49850827,82130563
2024,"
Argentina",24,"
Tabaco e seus sucedâneos manufaturados",49246364,8996402
2024,"
Estados Unidos",23,"
Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais",48787767,39289362
2024,"
Chile",30,"
Produtos farmacêuticos",48611618,3171085
2024,"
Alemanha",33,"
Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas",48265178,3323970
2024,"
Chile",9,"
Café, chá, mate e especiarias",47911033,13232862
2024,"
Estados Unidos",96,"
Obras diversas",45890688,6669316
2024,"
México",4,"
Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",44492621,9917472
2024,"
Estados Unidos",89,"
Embarcações e estruturas flutuantes",44319777,976211
2024,"
Chile",26,"
Minerios, escórias e cinzas",44077098,64973469
2024,"
Chile",29,"
Produtos químicos orgânicos",43580097,24346003
2024,"
Argentina",8,"
Frutas; cascas de frutos cítricos e de melões",43485796,45914564
2024,"
Chile",90,"
Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",42347643,808288
2024,"
China",3,"
Peixes e crustáceos, moluscos e outros invertebrados aquáticos",41433196,4668989
2024,"
Argentina",7,"
Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.",41155452,64068873
2024,"
Alemanha",29,"
Produtos químicos orgânicos",40631389,7442386
2024,"
México",28,"
Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",39933386,28283770
2024,"
Chile",73,"
Obras de ferro fundido, ferro ou aço",39282645,10097889
2024,"
China",48,"
Papel e cartão; obras de pasta de celulose, de papel ou de cartão",39181733,52637519
2024,"
Argentina",56,"
Pastas (ouates), feltros e falsos tecidos; fios especiais; cordéis, cordas e cabos; artigos de cordoaria",38961301,10638122
2024,"
Canadá",21,"
Preparações alimentícias diversas",38577486,6004000
2024,"
China",81,"
Outros metais comuns; ceramais (cermets); obras dessas matérias",38422839,630343
2024,"
Japão",44,"
Madeira, carvão vegetal e obras de madeira",38335911,348316604
2024,"
Japão",15,"
Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal",37945837,23600893
